n;x;y;z
23294;-19.300000000000001;6.5000000000000000;6.1299999999999999
23293;-19.300000000000001;6.5000000000000000;0.0000000000000000
23295;-9.6500000000000004;6.5000000000000000;7.0999999999999996
6;-9.4510000000000005;6.5000000000000000;7.0800000000000001
23303;-19.300000000000001;11.900000000000000;6.1299999999999999
23297;-19.300000000000001;11.900000000000000;4.0866699999999998
23296;-9.8490000000000002;6.5000000000000000;7.0800000000000001
8350;0.0000000000000000;6.5000000000000000;6.1299999999999999
23308;-19.300000000000001;16.800000000000001;6.1299999999999999
23330;-19.300000000000001;16.800000000000001;4.0866699999999998
23313;-19.300000000000001;21.590000000000000;6.1299999999999999
23331;-19.300000000000001;21.590000000000000;4.0866699999999998
23332;-19.300000000000001;11.900000000000000;2.0433300000000001
23305;-9.6500000000000004;11.900000000000000;7.0999999999999996
23306;-9.4510000000000005;11.900000000000000;7.0800000000000001
23357;-7.0882500000000004;11.900000000000000;6.8425000000000002
23307;-9.8490000000000002;11.900000000000000;7.0800000000000001
23304;-19.300000000000001;11.900000000000000;0.0000000000000000
23360;-4.7255000000000003;11.900000000000000;6.6050000000000004
23312;-9.8490000000000002;16.800000000000001;7.0800000000000001
23310;-9.6500000000000004;16.800000000000001;7.0999999999999996
23333;-19.300000000000001;16.800000000000001;2.0433300000000001
23315;-9.6500000000000004;21.590000000000000;7.0999999999999996
23316;-9.4510000000000005;21.590000000000000;7.0800000000000001
23365;-2.3627500000000001;11.900000000000000;6.3674999999999997
23317;-9.8490000000000002;21.590000000000000;7.0800000000000001
23319;-19.300000000000001;26.300000000000001;6.1299999999999999
23320;-19.300000000000001;26.300000000000001;0.0000000000000000
23323;-9.8490000000000002;26.300000000000001;7.0800000000000001
23321;-9.6500000000000004;26.300000000000001;7.0999999999999996
23322;-9.4510000000000005;26.300000000000001;7.0800000000000001
132;0.0000000000000000;26.300000000000001;6.1299999999999999
23325;0.0000000000000000;26.300000000000001;0.0000000000000000
23309;-19.300000000000001;16.800000000000001;0.0000000000000000
23334;-19.300000000000001;21.590000000000000;2.0433300000000001
23314;-19.300000000000001;21.590000000000000;0.0000000000000000
10260;0.0000000000000000;11.900000000000000;6.1299999999999999
23311;-9.4510000000000005;16.800000000000001;7.0800000000000001
23366;-7.0882500000000004;16.800000000000001;6.8425000000000002
23361;-4.7255000000000003;16.800000000000001;6.6050000000000004
23353;-16.937200000000001;11.900000000000000;6.3674999999999997
23354;-14.574500000000000;11.900000000000000;6.6050000000000004
23355;-12.211700000000000;11.900000000000000;6.8425000000000002
23356;-16.937200000000001;16.800000000000001;6.3674999999999997
23358;-14.574500000000000;16.800000000000001;6.6050000000000004
23359;-12.211700000000000;16.800000000000001;6.8425000000000002
23362;-16.937200000000001;21.590000000000000;6.3674999999999997
23363;-14.574500000000000;21.590000000000000;6.6050000000000004
23364;-12.211700000000000;21.590000000000000;6.8425000000000002
23367;-2.3627500000000001;16.800000000000001;6.3674999999999997
10254;0.0000000000000000;16.800000000000001;6.1299999999999999
23368;-7.0882500000000004;21.590000000000000;6.8425000000000002
23369;-4.7255000000000003;21.590000000000000;6.6050000000000004
23370;-2.3627500000000001;21.590000000000000;6.3674999999999997
10247;0.0000000000000000;21.588899999999999;6.1299999999999999
23345;-14.574500000000000;26.300000000000001;6.6050000000000004
23340;-14.570000000000000;26.300000000000001;0.0000000000000000
23341;-9.6500000000000004;26.300000000000001;0.0000000000000000
23348;-4.7255000000000003;26.300000000000001;6.6050000000000004
23342;-4.7300000000000004;26.300000000000001;0.0000000000000000
23300;-16.937200000000001;6.5000000000000000;6.3674999999999997
23344;-16.937200000000001;26.300000000000001;6.3674999999999997
23299;-14.574500000000000;6.5000000000000000;6.6050000000000004
23298;-12.211700000000000;6.5000000000000000;6.8425000000000002
23346;-12.211700000000000;26.300000000000001;6.8425000000000002
11;-7.0882500000000004;6.5000000000000000;6.8425000000000002
23347;-7.0882500000000004;26.300000000000001;6.8425000000000002
23301;-4.7255000000000003;6.5000000000000000;6.6050000000000004
23302;-2.3627500000000001;6.5000000000000000;6.3674999999999997
23349;-2.3627500000000001;26.300000000000001;6.3674999999999997
23328;-19.300000000000001;26.300000000000001;4.0866699999999998
23326;-19.300000000000001;6.5000000000000000;4.0866699999999998
23329;-19.300000000000001;26.300000000000001;2.0433300000000001
23327;-19.300000000000001;6.5000000000000000;2.0433300000000001
23343;0.0000000000000000;26.300000000000001;4.0866699999999998
23337;-4.7272200000000000;26.300000000000001;4.0866699999999998
23336;-9.6500000000000004;26.300000000000001;4.0866699999999998
23335;-14.572800000000001;26.300000000000001;4.0866699999999998
23350;0.0000000000000000;26.300000000000001;2.0433300000000001
23351;-4.7286099999999998;26.300000000000001;2.0433300000000001
23339;-9.6500000000000004;26.300000000000001;2.0433300000000001
23338;-14.571400000000001;26.300000000000001;2.0433300000000001
23352;-9.6500000000000004;26.300000000000001;3.3009900000000001